"","cca","cawt","hyd","msp5_bryo","biofr","miniacina_miniacea_.r._for","cyanob","biofv","bi","miniacina_sp_.j._for","disporella_novaehollandiae_bryo","msp3_spo","spo","msp15_spo","msp12_spo","sowt","tubulipora_sp_bryo","msp20_spo","msp1_ascs","crisia_elongata_bryo","msp14_bryo","msp4_ascc"
"RUNA1A",27.529,17.1263125,9.609375,8.5965,3.36925,4.486875,2.0514375,3.7865,1.156625,0,1.806375,2.7186875,0.4031875,0,2.233,0.3125,0.635375,1.007,0.9360625,6.0909375,0,0
"RUNA1B",31.345125,15.10975,9.5715,5.07625,4.8349375,4.6866875,1.4620625,4.4249375,2.4798125,0,0.2604375,1.4645625,1.03125,2.69875,0,0.5104375,0.2604375,1.7998125,0.85225,4.10975,0,0.3571875
"RUNA1C",29.7915,15.1948125,3.8430625,5.1305625,8.0494375,1.868625,6.231625,2.235875,0,3.7733125,1.25125,2.9880625,0.3720625,1.084375,4.2895625,0.22325,0.694375,1.0246875,0.431,0.917625,0,0.8064375
"RUNA2A",36.7804375,17.1471875,5.33975,2.43775,5.84475,2.1715,7.626,2.9340625,2.6314375,2.536625,0.443,1.8045,0,0,0.390625,0.3834375,0.1488125,0,0.25,0,0.25,0
"RUNA2B",40.26,14.6406875,3.6900625,9.4245,6.258875,5.6605,2.9020625,2.51725,0.332625,2.8521875,0.145375,0.758375,0,3.41175,1.00175,0.8929375,0,0,1.078875,0,0.34725,0.201625
"RUNA2C",37.15475,13.8433125,7.7498125,5.3600625,5.313625,7.908875,1.2806875,4.314375,1.103875,0.284125,0.5708125,0.5941875,0,0.5245,1.6371875,2.70825,0.201625,0,0.5859375,0,0,0.1953125
"RUNA3A",25.304375,21.809125,3.4456875,6.08375,5.91375,14.890125,0.9881875,3.2908125,0.4886875,1.97525,0.201625,1.1119375,0,1.2335625,1.5611875,0.6280625,0,0,0.4171875,0,0,4.08625
"RUNA3B",32.3658125,15.335625,4.712125,9.94275,6.6916875,6.5530625,1.3613125,2.046375,0.8749375,5.29825,1.3043125,0.8745,0.5894375,1.6361875,2.340125,1.0250625,0.240375,0.2155625,0.208375,0,0.390625,0
"RUNA3C",21.3191875,19.9408125,12.5464375,1.6698125,2.534625,1.5571875,0.3483125,0.4933125,1.8189375,0.3196875,0.135875,1.318125,2.1189375,0.135875,1.7194375,1.090375,0.5200625,3.9015,0.5685625,9.1055,0.1645,1.5085625
"RUNA4A",26.8505,18.3255,5.9240625,13.6515,3.718875,3.6794375,7.24525,2.947875,0.8720625,0.279,0.754875,0.8905625,1.071375,2.4561875,0.2155,0.5218125,2.43575,0,0.7723125,0.87125,0.68825,1.96275
"RUNA4B",20.94375,19.69475,6.0911875,9.336125,5.17875,1.3059375,5.305,0.5235,3.3573125,0.795375,1.5771875,0.48075,1.408125,6.3483125,0.511125,5.398125,0.6334375,0,0.7935625,0.934875,0.3086875,0.9590625
"RUNA4C",24.2185,21.6909375,6.7371875,9.723625,5.182,4.76525,5.962,3.0598125,2.5715625,2.4138125,0.1524375,0.5233125,0.5646875,0.811375,0.9075625,0,0.1785625,0.16025,0.40325,0.2840625,0.8145,0.40325
